Immobilie,Datum,Energietyp,Verbrauch
buergerhaus-kinderhaus,08.03.22 12-13,Wärme,"190,000"
buergerhaus-kinderhaus,08.03.22 13-14,Wärme,"170,000"
buergerhaus-kinderhaus,08.03.22 14-15,Wärme,"180,000"
buergerhaus-kinderhaus,08.03.22 15-16,Wärme,"160,000"
buergerhaus-kinderhaus,08.03.22 16-17,Wärme,"140,000"
buergerhaus-kinderhaus,08.03.22 17-18,Wärme,"230,000"
buergerhaus-kinderhaus,08.03.22 18-19,Wärme,"260,000"
buergerhaus-kinderhaus,08.03.22 19-20,Wärme,"240,000"
buergerhaus-kinderhaus,08.03.22 20-21,Wärme,"190,000"
buergerhaus-kinderhaus,08.03.22 21-22,Wärme,"270,000"
buergerhaus-kinderhaus,08.03.22 22-23,Wärme,"290,000"
buergerhaus-kinderhaus,08.03.22 23-00,Wärme,"200,000"
buergerhaus-kinderhaus,07.03.22 00-01,Wärme,"100,000"
buergerhaus-kinderhaus,07.03.22 01-02,Wärme,"190,000"
buergerhaus-kinderhaus,07.03.22 02-03,Wärme,"320,000"
buergerhaus-kinderhaus,07.03.22 03-04,Wärme,"360,000"
buergerhaus-kinderhaus,07.03.22 04-05,Wärme,"240,000"
buergerhaus-kinderhaus,07.03.22 05-06,Wärme,"380,000"
buergerhaus-kinderhaus,07.03.22 06-07,Wärme,"300,000"
buergerhaus-kinderhaus,07.03.22 07-08,Wärme,"240,000"
buergerhaus-kinderhaus,07.03.22 08-09,Wärme,"340,000"
buergerhaus-kinderhaus,07.03.22 09-10,Wärme,"390,000"
buergerhaus-kinderhaus,07.03.22 10-11,Wärme,"370,000"
buergerhaus-kinderhaus,07.03.22 11-12,Wärme,"360,000"
buergerhaus-kinderhaus,07.03.22 12-13,Wärme,"350,000"
buergerhaus-kinderhaus,07.03.22 13-14,Wärme,"310,000"
buergerhaus-kinderhaus,07.03.22 14-15,Wärme,"290,000"
buergerhaus-kinderhaus,07.03.22 15-16,Wärme,"310,000"
buergerhaus-kinderhaus,07.03.22 16-17,Wärme,"280,000"
buergerhaus-kinderhaus,07.03.22 17-18,Wärme,"240,000"
buergerhaus-kinderhaus,07.03.22 18-19,Wärme,"250,000"
buergerhaus-kinderhaus,07.03.22 19-20,Wärme,"300,000"
buergerhaus-kinderhaus,07.03.22 20-21,Wärme,"300,000"
buergerhaus-kinderhaus,07.03.22 21-22,Wärme,"250,000"
buergerhaus-kinderhaus,07.03.22 22-23,Wärme,"240,000"
buergerhaus-kinderhaus,07.03.22 23-00,Wärme,"230,000"
buergerhaus-kinderhaus,06.03.22 00-01,Wärme,"60,000"
buergerhaus-kinderhaus,06.03.22 01-02,Wärme,"120,000"
buergerhaus-kinderhaus,06.03.22 02-03,Wärme,"230,000"
buergerhaus-kinderhaus,06.03.22 03-04,Wärme,"330,000"
buergerhaus-kinderhaus,06.03.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,06.03.22 05-06,Wärme,"390,000"
buergerhaus-kinderhaus,06.03.22 06-07,Wärme,"390,000"
buergerhaus-kinderhaus,06.03.22 07-08,Wärme,"420,000"
buergerhaus-kinderhaus,06.03.22 08-09,Wärme,"400,000"
buergerhaus-kinderhaus,06.03.22 09-10,Wärme,"370,000"
buergerhaus-kinderhaus,06.03.22 10-11,Wärme,"370,000"
buergerhaus-kinderhaus,06.03.22 11-12,Wärme,"370,000"
buergerhaus-kinderhaus,06.03.22 12-13,Wärme,"300,000"
buergerhaus-kinderhaus,06.03.22 13-14,Wärme,"280,000"
buergerhaus-kinderhaus,06.03.22 14-15,Wärme,"340,000"
buergerhaus-kinderhaus,06.03.22 15-16,Wärme,"290,000"
buergerhaus-kinderhaus,06.03.22 16-17,Wärme,"230,000"
buergerhaus-kinderhaus,06.03.22 17-18,Wärme,"170,000"
buergerhaus-kinderhaus,06.03.22 18-19,Wärme,"150,000"
buergerhaus-kinderhaus,06.03.22 19-20,Wärme,"130,000"
buergerhaus-kinderhaus,06.03.22 20-21,Wärme,"170,000"
buergerhaus-kinderhaus,06.03.22 21-22,Wärme,"190,000"
buergerhaus-kinderhaus,06.03.22 22-23,Wärme,"180,000"
buergerhaus-kinderhaus,06.03.22 23-00,Wärme,"120,000"
buergerhaus-kinderhaus,05.03.22 00-01,Wärme,"70,000"
buergerhaus-kinderhaus,05.03.22 01-02,Wärme,"50,000"
buergerhaus-kinderhaus,05.03.22 02-03,Wärme,"100,000"
buergerhaus-kinderhaus,05.03.22 03-04,Wärme,"120,000"
buergerhaus-kinderhaus,05.03.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,05.03.22 05-06,Wärme,"200,000"
buergerhaus-kinderhaus,05.03.22 06-07,Wärme,"200,000"
buergerhaus-kinderhaus,05.03.22 07-08,Wärme,"330,000"
buergerhaus-kinderhaus,05.03.22 08-09,Wärme,"320,000"
buergerhaus-kinderhaus,05.03.22 09-10,Wärme,"290,000"
buergerhaus-kinderhaus,05.03.22 10-11,Wärme,"250,000"
buergerhaus-kinderhaus,05.03.22 11-12,Wärme,"240,000"
buergerhaus-kinderhaus,05.03.22 12-13,Wärme,"240,000"
buergerhaus-kinderhaus,05.03.22 13-14,Wärme,"320,000"
buergerhaus-kinderhaus,05.03.22 14-15,Wärme,"290,000"
buergerhaus-kinderhaus,05.03.22 15-16,Wärme,"220,000"
buergerhaus-kinderhaus,05.03.22 16-17,Wärme,"240,000"
buergerhaus-kinderhaus,05.03.22 17-18,Wärme,"190,000"
buergerhaus-kinderhaus,05.03.22 18-19,Wärme,"150,000"
buergerhaus-kinderhaus,05.03.22 19-20,Wärme,"120,000"
buergerhaus-kinderhaus,05.03.22 20-21,Wärme,"120,000"
buergerhaus-kinderhaus,05.03.22 21-22,Wärme,"160,000"
buergerhaus-kinderhaus,05.03.22 22-23,Wärme,"170,000"
buergerhaus-kinderhaus,05.03.22 23-00,Wärme,"170,000"
buergerhaus-kinderhaus,04.03.22 00-01,Wärme,"110,000"
buergerhaus-kinderhaus,04.03.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,04.03.22 02-03,Wärme,"190,000"
buergerhaus-kinderhaus,04.03.22 03-04,Wärme,"220,000"
buergerhaus-kinderhaus,04.03.22 04-05,Wärme,"250,000"
buergerhaus-kinderhaus,04.03.22 05-06,Wärme,"350,000"
buergerhaus-kinderhaus,04.03.22 06-07,Wärme,"360,000"
buergerhaus-kinderhaus,04.03.22 07-08,Wärme,"420,000"
buergerhaus-kinderhaus,04.03.22 08-09,Wärme,"430,000"
buergerhaus-kinderhaus,04.03.22 09-10,Wärme,"410,000"
buergerhaus-kinderhaus,04.03.22 10-11,Wärme,"380,000"
buergerhaus-kinderhaus,04.03.22 11-12,Wärme,"380,000"
buergerhaus-kinderhaus,04.03.22 12-13,Wärme,"330,000"
buergerhaus-kinderhaus,04.03.22 13-14,Wärme,"290,000"
buergerhaus-kinderhaus,04.03.22 14-15,Wärme,"210,000"
buergerhaus-kinderhaus,04.03.22 15-16,Wärme,"200,000"
buergerhaus-kinderhaus,04.03.22 16-17,Wärme,"220,000"
buergerhaus-kinderhaus,04.03.22 17-18,Wärme,"280,000"
buergerhaus-kinderhaus,04.03.22 18-19,Wärme,"350,000"
buergerhaus-kinderhaus,04.03.22 19-20,Wärme,"230,000"
buergerhaus-kinderhaus,04.03.22 20-21,Wärme,"190,000"
buergerhaus-kinderhaus,04.03.22 21-22,Wärme,"260,000"
buergerhaus-kinderhaus,04.03.22 22-23,Wärme,"240,000"
buergerhaus-kinderhaus,04.03.22 23-00,Wärme,"210,000"
buergerhaus-kinderhaus,03.03.22 00-01,Wärme,"90,000"
buergerhaus-kinderhaus,03.03.22 01-02,Wärme,"90,000"
buergerhaus-kinderhaus,03.03.22 02-03,Wärme,"100,000"
buergerhaus-kinderhaus,03.03.22 03-04,Wärme,"220,000"
buergerhaus-kinderhaus,03.03.22 04-05,Wärme,"310,000"
buergerhaus-kinderhaus,03.03.22 05-06,Wärme,"320,000"
buergerhaus-kinderhaus,03.03.22 06-07,Wärme,"220,000"
buergerhaus-kinderhaus,03.03.22 07-08,Wärme,"270,000"
buergerhaus-kinderhaus,03.03.22 08-09,Wärme,"300,000"
buergerhaus-kinderhaus,03.03.22 09-10,Wärme,"290,000"
buergerhaus-kinderhaus,03.03.22 10-11,Wärme,"250,000"
buergerhaus-kinderhaus,03.03.22 11-12,Wärme,"220,000"
buergerhaus-kinderhaus,03.03.22 12-13,Wärme,"220,000"
buergerhaus-kinderhaus,03.03.22 13-14,Wärme,"260,000"
buergerhaus-kinderhaus,03.03.22 14-15,Wärme,"230,000"
buergerhaus-kinderhaus,03.03.22 15-16,Wärme,"210,000"
buergerhaus-kinderhaus,03.03.22 16-17,Wärme,"110,000"
buergerhaus-kinderhaus,03.03.22 17-18,Wärme,"160,000"
buergerhaus-kinderhaus,03.03.22 18-19,Wärme,"250,000"
buergerhaus-kinderhaus,03.03.22 19-20,Wärme,"220,000"
buergerhaus-kinderhaus,03.03.22 20-21,Wärme,"180,000"
buergerhaus-kinderhaus,03.03.22 21-22,Wärme,"310,000"
buergerhaus-kinderhaus,03.03.22 22-23,Wärme,"270,000"
buergerhaus-kinderhaus,03.03.22 23-00,Wärme,"180,000"
buergerhaus-kinderhaus,02.03.22 00-01,Wärme,"110,000"
buergerhaus-kinderhaus,02.03.22 01-02,Wärme,"110,000"
buergerhaus-kinderhaus,02.03.22 02-03,Wärme,"190,000"
buergerhaus-kinderhaus,02.03.22 03-04,Wärme,"200,000"
buergerhaus-kinderhaus,02.03.22 04-05,Wärme,"260,000"
buergerhaus-kinderhaus,02.03.22 05-06,Wärme,"350,000"
buergerhaus-kinderhaus,02.03.22 06-07,Wärme,"360,000"
buergerhaus-kinderhaus,02.03.22 07-08,Wärme,"390,000"
buergerhaus-kinderhaus,02.03.22 08-09,Wärme,"420,000"
buergerhaus-kinderhaus,02.03.22 09-10,Wärme,"440,000"
buergerhaus-kinderhaus,02.03.22 10-11,Wärme,"390,000"
buergerhaus-kinderhaus,02.03.22 11-12,Wärme,"360,000"
buergerhaus-kinderhaus,02.03.22 12-13,Wärme,"350,000"
buergerhaus-kinderhaus,02.03.22 13-14,Wärme,"250,000"
buergerhaus-kinderhaus,02.03.22 14-15,Wärme,"190,000"
buergerhaus-kinderhaus,02.03.22 15-16,Wärme,"190,000"
buergerhaus-kinderhaus,02.03.22 16-17,Wärme,"200,000"
buergerhaus-kinderhaus,02.03.22 17-18,Wärme,"310,000"
buergerhaus-kinderhaus,02.03.22 18-19,Wärme,"250,000"
buergerhaus-kinderhaus,02.03.22 19-20,Wärme,"150,000"
buergerhaus-kinderhaus,02.03.22 20-21,Wärme,"180,000"
buergerhaus-kinderhaus,02.03.22 21-22,Wärme,"210,000"
buergerhaus-kinderhaus,02.03.22 22-23,Wärme,"150,000"
buergerhaus-kinderhaus,02.03.22 23-00,Wärme,"110,000"
buergerhaus-kinderhaus,01.03.22 00-01,Wärme,"80,000"
buergerhaus-kinderhaus,01.03.22 01-02,Wärme,"160,000"
buergerhaus-kinderhaus,01.03.22 02-03,Wärme,"160,000"
buergerhaus-kinderhaus,01.03.22 03-04,Wärme,"220,000"
buergerhaus-kinderhaus,01.03.22 04-05,Wärme,"240,000"
buergerhaus-kinderhaus,01.03.22 05-06,Wärme,"220,000"
buergerhaus-kinderhaus,01.03.22 06-07,Wärme,"170,000"
buergerhaus-kinderhaus,01.03.22 07-08,Wärme,"220,000"
buergerhaus-kinderhaus,01.03.22 08-09,Wärme,"290,000"
buergerhaus-kinderhaus,01.03.22 09-10,Wärme,"420,000"
buergerhaus-kinderhaus,01.03.22 10-11,Wärme,"300,000"
buergerhaus-kinderhaus,01.03.22 11-12,Wärme,"250,000"
buergerhaus-kinderhaus,01.03.22 12-13,Wärme,"160,000"
buergerhaus-kinderhaus,01.03.22 13-14,Wärme,"140,000"
buergerhaus-kinderhaus,01.03.22 14-15,Wärme,"180,000"
buergerhaus-kinderhaus,01.03.22 15-16,Wärme,"220,000"
buergerhaus-kinderhaus,01.03.22 16-17,Wärme,"330,000"
buergerhaus-kinderhaus,01.03.22 17-18,Wärme,"350,000"
buergerhaus-kinderhaus,01.03.22 18-19,Wärme,"210,000"
buergerhaus-kinderhaus,01.03.22 19-20,Wärme,"150,000"
buergerhaus-kinderhaus,01.03.22 20-21,Wärme,"180,000"
buergerhaus-kinderhaus,01.03.22 21-22,Wärme,"310,000"
buergerhaus-kinderhaus,01.03.22 22-23,Wärme,"250,000"
buergerhaus-kinderhaus,01.03.22 23-00,Wärme,"210,000"
buergerhaus-kinderhaus,28.02.22 00-01,Wärme,"150,000"
buergerhaus-kinderhaus,28.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,28.02.22 02-03,Wärme,"220,000"
buergerhaus-kinderhaus,28.02.22 03-04,Wärme,"330,000"
buergerhaus-kinderhaus,28.02.22 04-05,Wärme,"240,000"
buergerhaus-kinderhaus,28.02.22 05-06,Wärme,"390,000"
buergerhaus-kinderhaus,28.02.22 06-07,Wärme,"330,000"
buergerhaus-kinderhaus,28.02.22 07-08,Wärme,"250,000"
buergerhaus-kinderhaus,28.02.22 08-09,Wärme,"290,000"
buergerhaus-kinderhaus,28.02.22 09-10,Wärme,"420,000"
buergerhaus-kinderhaus,28.02.22 10-11,Wärme,"370,000"
buergerhaus-kinderhaus,28.02.22 11-12,Wärme,"340,000"
buergerhaus-kinderhaus,28.02.22 12-13,Wärme,"310,000"
